name,slug,category,brand,price,original_price,stock_quantity,description,main_image,images,features,is_featured,product_url,specifications,manufacturer
MRI System Pro 297,mri-system-pro-297,Medical Equipment,Clinica,6061.72,7111.05,3,High-quality MRI System Pro 297 meeting industry standards for medical equipment operations.,https://images.pexels.com/photos/8413091/pexels-photo-8413091.jpeg,"https://images.pexels.com/photos/8413091/pexels-photo-8413091.jpeg,https://images.pexels.com/photos/6627671/pexels-photo-6627671.jpeg,https://images.pexels.com/photos/6502369/pexels-photo-6502369.jpeg,https://images.pexels.com/photos/6809646/pexels-photo-6809646.jpeg","Technical Support, Hygienic Design, 1 Year Warranty, Heavy Duty Construction",0,,Clinica | Industrial Grade | Performance Certified,MediPro
Wellhead System Max 481,wellhead-system-max-481,Oil And Gas Exploration Equipment,DrillMaster,468033.13,517377.66,1,Professional-grade Wellhead System Max 481 designed for demanding oil and gas exploration equipment applications.,https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,"https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,https://images.pexels.com/photos/13129752/pexels-photo-13129752.jpeg,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg,https://images.pexels.com/photos/29470002/pexels-photo-29470002.jpeg","1 Year Warranty, High Pressure Rated, Corrosion Resistant, ATEX Certified",0,,FuelTech | Industrial Grade | Performance Certified,OilMax
Crane Lift Pro Industrial 787,crane-lift-pro-industrial-787,Construction Equipment,TerraMaster,64061.0,79521.28,6,Crane Lift Pro Industrial 787 - A trusted solution for construction equipment tasks with reliable performance.,https://images.pexels.com/photos/16567022/pexels-photo-16567022.jpeg,"https://images.pexels.com/photos/16567022/pexels-photo-16567022.jpeg,https://images.pexels.com/photos/33122153/pexels-photo-33122153.jpeg,https://images.pexels.com/photos/21033111/pexels-photo-21033111.jpeg,https://images.pexels.com/photos/30354001/pexels-photo-30354001.jpeg","Technical Support, 1 Year Warranty, ROPS/FOPS Available, Heavy Duty Construction",0,,DigiBuild | Industrial Grade | Performance Certified,BuildForce
Drilling Rig Max 712,drilling-rig-max-712,Mining and Quarry Equipment,RockBreaker,89327.23,111855.55,5,This Drilling Rig Max 712 delivers exceptional performance in mining and quarry equipment environments.,https://images.pexels.com/photos/15071423/pexels-photo-15071423.jpeg,"https://images.pexels.com/photos/15071423/pexels-photo-15071423.jpeg,https://images.pexels.com/photos/13181434/pexels-photo-13181434.jpeg,https://images.pexels.com/photos/33192/paddle-wheel-bucket-wheel-excavators-brown-coal-open-pit-mining.jpg,https://images.pexels.com/photos/6364578/pexels-photo-6364578.jpeg","Industry Certified, Heavy Duty Construction, 1 Year Warranty, Mining Certified",0,,MineTech | Industrial Grade | Performance Certified,DeepDigger
Defibrillator Industrial 953,defibrillator-industrial-953,Medical Equipment,MediCore,42364.73,53177.91,20,High-quality Defibrillator Industrial 953 meeting industry standards for medical equipment operations.,https://images.pexels.com/photos/6809646/pexels-photo-6809646.jpeg,"https://images.pexels.com/photos/6809646/pexels-photo-6809646.jpeg,https://images.pexels.com/photos/4586856/pexels-photo-4586856.jpeg,https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg,https://images.pexels.com/photos/8413159/pexels-photo-8413159.jpeg","Sterilization Ready, Hygienic Design, Clinical Grade, 1 Year Warranty",1,,ProHealth | Industrial Grade | Performance Certified,ProHealth
Casing Hanger Elite 647,casing-hanger-elite-647,Oil And Gas Exploration Equipment,OilMax,277608.81,329598.91,10,This Casing Hanger Elite 647 delivers exceptional performance in oil and gas exploration equipment environments.,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg,"https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg,https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,https://images.pexels.com/photos/13129752/pexels-photo-13129752.jpeg,https://images.pexels.com/photos/29470001/pexels-photo-29470001.jpeg","Heavy Duty Construction, 1 Year Warranty, Technical Support, Industry Certified",0,,PetroPower | Industrial Grade | Performance Certified,PetroPower
Forklift Pro Max 993,forklift-pro-max-993,Construction Equipment,BuildForce,69569.56,82893.48,3,This Forklift Pro Max 993 delivers exceptional performance in construction equipment environments.,https://images.pexels.com/photos/5125782/pexels-photo-5125782.jpeg,"https://images.pexels.com/photos/5125782/pexels-photo-5125782.jpeg,https://images.pexels.com/photos/5125783/pexels-photo-5125783.jpeg,https://images.pexels.com/photos/461789/pexels-photo-461789.jpeg,https://images.pexels.com/photos/10421754/pexels-photo-10421754.jpeg","Heavy Duty Construction, Fuel Efficient, Technical Support, ROPS/FOPS Available",0,,DigiBuild | Industrial Grade | Performance Certified,SteelWorks
Dozer Pro Elite 714,dozer-pro-elite-714,Mining and Quarry Equipment,RockBreaker,484994.5,547928.42,2,Professional-grade Dozer Pro Elite 714 designed for demanding mining and quarry equipment applications.,https://images.pexels.com/photos/18812420/pexels-photo-18812420.jpeg,"https://images.pexels.com/photos/18812420/pexels-photo-18812420.jpeg,https://images.pexels.com/photos/31096912/pexels-photo-31096912.jpeg,https://images.pexels.com/photos/28792584/pexels-photo-28792584.jpeg,https://images.pexels.com/photos/15071423/pexels-photo-15071423.jpeg","Heavy Duty Construction, Technical Support, Industry Certified, Dust Protected",1,,DeepDigger | Industrial Grade | Performance Certified,MineTech
Ultrasound Device Elite 402,ultrasound-device-elite-402,Medical Equipment,MediPro,8108.93,9549.63,11,Professional-grade Ultrasound Device Elite 402 designed for demanding medical equipment applications.,https://images.pexels.com/photos/6502369/pexels-photo-6502369.jpeg,"https://images.pexels.com/photos/6502369/pexels-photo-6502369.jpeg,https://images.pexels.com/photos/7789678/pexels-photo-7789678.jpeg,https://images.pexels.com/photos/8352121/pexels-photo-8352121.jpeg,https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg","Heavy Duty Construction, Hygienic Design, Sterilization Ready, Technical Support",1,,MediPro | Industrial Grade | Performance Certified,MediCore
Top Drive Max 272,top-drive-max-272,Oil And Gas Exploration Equipment,DrillMaster,202742.56,257942.83,10,Professional-grade Top Drive Max 272 designed for demanding oil and gas exploration equipment applications.,https://images.pexels.com/photos/29470001/pexels-photo-29470001.jpeg,"https://images.pexels.com/photos/29470001/pexels-photo-29470001.jpeg,https://images.pexels.com/photos/15391048/pexels-photo-15391048.jpeg,https://images.pexels.com/photos/21047659/pexels-photo-21047659.jpeg,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg","Technical Support, Heavy Duty Construction, Industry Certified, ATEX Certified",0,,FuelTech | Industrial Grade | Performance Certified,FuelTech
Dump Truck Pro 582,dump-truck-pro-582,Construction Equipment,TerraMaster,38793.82,47702.25,11,Professional-grade Dump Truck Pro 582 designed for demanding construction equipment applications.,https://images.pexels.com/photos/10421758/pexels-photo-10421758.jpeg,"https://images.pexels.com/photos/10421758/pexels-photo-10421758.jpeg,https://images.pexels.com/photos/21033111/pexels-photo-21033111.jpeg,https://images.pexels.com/photos/33122153/pexels-photo-33122153.jpeg,https://images.pexels.com/photos/30751525/pexels-photo-30751525.jpeg","Industry Certified, ROPS/FOPS Available, 1 Year Warranty, Heavy Duty Construction",0,,BuildForce | Industrial Grade | Performance Certified,ConstructPro
Drilling Rig Max 457,drilling-rig-max-457,Mining and Quarry Equipment,RockBreaker,258422.83,298837.34,2,High-quality Drilling Rig Max 457 meeting industry standards for mining and quarry equipment operations.,https://images.pexels.com/photos/13181434/pexels-photo-13181434.jpeg,"https://images.pexels.com/photos/13181434/pexels-photo-13181434.jpeg,https://images.pexels.com/photos/33192/paddle-wheel-bucket-wheel-excavators-brown-coal-open-pit-mining.jpg,https://images.pexels.com/photos/15071423/pexels-photo-15071423.jpeg,https://images.pexels.com/photos/6364578/pexels-photo-6364578.jpeg","Mining Certified, High Torque, Dust Protected, 1 Year Warranty",0,,QuarryPro | Industrial Grade | Performance Certified,RockBreaker
Patient Monitor Elite 485,patient-monitor-elite-485,Medical Equipment,Clinica,37278.96,48140.36,3,Professional-grade Patient Monitor Elite 485 designed for demanding medical equipment applications.,https://images.pexels.com/photos/9951400/pexels-photo-9951400.jpeg,"https://images.pexels.com/photos/9951400/pexels-photo-9951400.jpeg,https://images.pexels.com/photos/8413159/pexels-photo-8413159.jpeg,https://images.pexels.com/photos/8413092/pexels-photo-8413092.jpeg,https://images.pexels.com/photos/4586856/pexels-photo-4586856.jpeg","Clinical Grade, Hygienic Design, Heavy Duty Construction, 1 Year Warranty",0,,Clinica | Industrial Grade | Performance Certified,BioMedix
Logging Tool Pro 783,logging-tool-pro-783,Oil And Gas Exploration Equipment,DrillMaster,391787.64,461459.71,13,High-quality Logging Tool Pro 783 meeting industry standards for oil and gas exploration equipment operations.,https://images.pexels.com/photos/15391048/pexels-photo-15391048.jpeg,"https://images.pexels.com/photos/15391048/pexels-photo-15391048.jpeg,https://images.pexels.com/photos/29470001/pexels-photo-29470001.jpeg,https://images.pexels.com/photos/21047659/pexels-photo-21047659.jpeg,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg","High Pressure Rated, ATEX Certified, Technical Support, Corrosion Resistant",0,,PetroPower | Industrial Grade | Performance Certified,OilMax
Road Roller Pro 689,road-roller-pro-689,Construction Equipment,SteelWorks,127995.75,147957.45,3,This Road Roller Pro 689 delivers exceptional performance in construction equipment environments.,https://images.pexels.com/photos/18812420/pexels-photo-18812420.jpeg,"https://images.pexels.com/photos/18812420/pexels-photo-18812420.jpeg,https://images.pexels.com/photos/28663727/pexels-photo-28663727.jpeg,https://images.pexels.com/photos/30354001/pexels-photo-30354001.jpeg,https://images.pexels.com/photos/12247592/pexels-photo-12247592.jpeg","Fuel Efficient, Technical Support, ROPS/FOPS Available, Industry Certified",0,,SteelWorks | Industrial Grade | Performance Certified,BuildForce
Mining Drill Industrial 225,mining-drill-industrial-225,Mining and Quarry Equipment,RockBreaker,441588.19,508902.05,16,High-quality Mining Drill Industrial 225 meeting industry standards for mining and quarry equipment operations.,https://images.pexels.com/photos/4202932/pexels-photo-4202932.jpeg,"https://images.pexels.com/photos/4202932/pexels-photo-4202932.jpeg,https://images.pexels.com/photos/31925745/pexels-photo-31925745.jpeg,https://images.pexels.com/photos/13181434/pexels-photo-13181434.jpeg,https://images.pexels.com/photos/6364578/pexels-photo-6364578.jpeg","1 Year Warranty, Mining Certified, Dust Protected, Industry Certified",0,,MineTech | Industrial Grade | Performance Certified,DeepDigger
Diagnostic Scanner Advanced 679,diagnostic-scanner-advanced-679,Medical Equipment,BioMedix,21574.03,23771.99,12,This Diagnostic Scanner Advanced 679 delivers exceptional performance in medical equipment environments.,https://images.pexels.com/photos/6627727/pexels-photo-6627727.jpeg,"https://images.pexels.com/photos/6627727/pexels-photo-6627727.jpeg,https://images.pexels.com/photos/7789678/pexels-photo-7789678.jpeg,https://images.pexels.com/photos/6809646/pexels-photo-6809646.jpeg,https://images.pexels.com/photos/6502369/pexels-photo-6502369.jpeg","Industry Certified, Heavy Duty Construction, Hygienic Design, 1 Year Warranty",0,,Clinica | Industrial Grade | Performance Certified,Clinica
Pressure Valve Advanced 998,pressure-valve-advanced-998,Oil And Gas Exploration Equipment,PetroPower,225344.84,284836.84,9,Professional-grade Pressure Valve Advanced 998 designed for demanding oil and gas exploration equipment applications.,https://images.pexels.com/photos/29470002/pexels-photo-29470002.jpeg,"https://images.pexels.com/photos/29470002/pexels-photo-29470002.jpeg,https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,https://images.pexels.com/photos/13129752/pexels-photo-13129752.jpeg,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg","1 Year Warranty, Corrosion Resistant, High Pressure Rated, Technical Support",1,,OilMax | Industrial Grade | Performance Certified,DrillMaster
Tower Crane Pro 692,tower-crane-pro-692,Construction Equipment,TerraMaster,57375.61,65185.35,9,High-quality Tower Crane Pro 692 meeting industry standards for construction equipment operations.,https://images.pexels.com/photos/16567022/pexels-photo-16567022.jpeg,"https://images.pexels.com/photos/16567022/pexels-photo-16567022.jpeg,https://images.pexels.com/photos/33122153/pexels-photo-33122153.jpeg,https://images.pexels.com/photos/28512236/pexels-photo-28512236.jpeg,https://images.pexels.com/photos/21033111/pexels-photo-21033111.jpeg","Technical Support, Fuel Efficient, ROPS/FOPS Available, CE Certified",1,,SteelWorks | Industrial Grade | Performance Certified,TerraMaster
Rock Crusher Pro Pro 314,rock-crusher-pro-pro-314,Mining and Quarry Equipment,RockBreaker,312419.07,374221.62,8,Rock Crusher Pro Pro 314 - A trusted solution for mining and quarry equipment tasks with reliable performance.,https://images.pexels.com/photos/6109687/pexels-photo-6109687.jpeg,"https://images.pexels.com/photos/6109687/pexels-photo-6109687.jpeg,https://images.pexels.com/photos/6109673/pexels-photo-6109673.jpeg,https://images.pexels.com/photos/6890368/pexels-photo-6890368.jpeg,https://images.pexels.com/photos/6890378/pexels-photo-6890378.jpeg","Industry Certified, High Torque, Dust Protected, Heavy Duty Construction",1,,RockBreaker | Industrial Grade | Performance Certified,OreMax
Ultrasound Device Pro 522,ultrasound-device-pro-522,Medical Equipment,ProHealth,21961.51,26032.67,8,Professional-grade Ultrasound Device Pro 522 designed for demanding medical equipment applications.,https://images.pexels.com/photos/7789678/pexels-photo-7789678.jpeg,"https://images.pexels.com/photos/7789678/pexels-photo-7789678.jpeg,https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg,https://images.pexels.com/photos/6502369/pexels-photo-6502369.jpeg,https://images.pexels.com/photos/8352121/pexels-photo-8352121.jpeg","Sterilization Ready, 1 Year Warranty, Industry Certified, Clinical Grade",0,,ProHealth | Industrial Grade | Performance Certified,ProHealth
Separator Unit Max 477,separator-unit-max-477,Oil And Gas Exploration Equipment,OilMax,410405.27,516465.66,18,Separator Unit Max 477 - A trusted solution for oil and gas exploration equipment tasks with reliable performance.,https://images.pexels.com/photos/13129752/pexels-photo-13129752.jpeg,"https://images.pexels.com/photos/13129752/pexels-photo-13129752.jpeg,https://images.pexels.com/photos/29470002/pexels-photo-29470002.jpeg,https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg","ATEX Certified, Industry Certified, Heavy Duty Construction, Technical Support",0,,FuelTech | Industrial Grade | Performance Certified,GasPro
Tower Crane Industrial 765,tower-crane-industrial-765,Construction Equipment,TerraMaster,26854.47,34791.36,15,This Tower Crane Industrial 765 delivers exceptional performance in construction equipment environments.,https://images.pexels.com/photos/21033111/pexels-photo-21033111.jpeg,"https://images.pexels.com/photos/21033111/pexels-photo-21033111.jpeg,https://images.pexels.com/photos/28512236/pexels-photo-28512236.jpeg,https://images.pexels.com/photos/33122153/pexels-photo-33122153.jpeg,https://images.pexels.com/photos/16567022/pexels-photo-16567022.jpeg","Fuel Efficient, Industry Certified, Technical Support, 1 Year Warranty",0,,BuildForce | Industrial Grade | Performance Certified,BuildForce
Wheel Loader Advanced 826,wheel-loader-advanced-826,Mining and Quarry Equipment,DeepDigger,77928.33,97231.32,15,High-quality Wheel Loader Advanced 826 meeting industry standards for mining and quarry equipment operations.,https://images.pexels.com/photos/17320062/pexels-photo-17320062.jpeg,"https://images.pexels.com/photos/17320062/pexels-photo-17320062.jpeg,https://images.pexels.com/photos/6890368/pexels-photo-6890368.jpeg,https://images.pexels.com/photos/32618286/pexels-photo-32618286.jpeg,https://images.pexels.com/photos/13181434/pexels-photo-13181434.jpeg","Technical Support, Heavy Duty Construction, 1 Year Warranty, Industry Certified",0,,OreMax | Industrial Grade | Performance Certified,RockBreaker
Infusion Pump Max 281,infusion-pump-max-281,Medical Equipment,Clinica,31723.08,39381.27,11,This Infusion Pump Max 281 delivers exceptional performance in medical equipment environments.,https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg,"https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg,https://images.pexels.com/photos/8655283/pexels-photo-8655283.jpeg,https://images.pexels.com/photos/4586856/pexels-photo-4586856.jpeg,https://images.pexels.com/photos/6809646/pexels-photo-6809646.jpeg","Technical Support, Heavy Duty Construction, Industry Certified, Sterilization Ready",0,,BioMedix | Industrial Grade | Performance Certified,BioMedix
Mud Pump Industrial 643,mud-pump-industrial-643,Oil And Gas Exploration Equipment,FuelTech,166692.18,202701.95,17,This Mud Pump Industrial 643 delivers exceptional performance in oil and gas exploration equipment environments.,https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,"https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg,https://images.pexels.com/photos/29470001/pexels-photo-29470001.jpeg,https://images.pexels.com/photos/13129752/pexels-photo-13129752.jpeg","High Pressure Rated, 1 Year Warranty, Heavy Duty Construction, Industry Certified",0,,OilMax | Industrial Grade | Performance Certified,FuelTech
Loader Elite Advanced 905,loader-elite-advanced-905,Construction Equipment,TerraMaster,127778.87,157981.62,17,This Loader Elite Advanced 905 delivers exceptional performance in construction equipment environments.,https://images.pexels.com/photos/5125782/pexels-photo-5125782.jpeg,"https://images.pexels.com/photos/5125782/pexels-photo-5125782.jpeg,https://images.pexels.com/photos/5125783/pexels-photo-5125783.jpeg,https://images.pexels.com/photos/35598624/pexels-photo-35598624.jpeg,https://images.pexels.com/photos/461789/pexels-photo-461789.jpeg","ROPS/FOPS Available, CE Certified, Fuel Efficient, Heavy Duty Construction",0,,ConstructPro | Industrial Grade | Performance Certified,TerraMaster
Screening Plant Elite 397,screening-plant-elite-397,Mining and Quarry Equipment,RockBreaker,54031.75,66327.9,6,High-quality Screening Plant Elite 397 meeting industry standards for mining and quarry equipment operations.,https://images.pexels.com/photos/34705823/pexels-photo-34705823.jpeg,"https://images.pexels.com/photos/34705823/pexels-photo-34705823.jpeg,https://images.pexels.com/photos/4946886/pexels-photo-4946886.jpeg,https://images.pexels.com/photos/17320030/pexels-photo-17320030.jpeg,https://images.pexels.com/photos/8247090/pexels-photo-8247090.jpeg","1 Year Warranty, Dust Protected, Industry Certified, High Torque",0,,DeepDigger | Industrial Grade | Performance Certified,OreMax
Ultrasound Device Elite 125,ultrasound-device-elite-125,Medical Equipment,Clinica,4127.11,4785.75,6,Professional-grade Ultrasound Device Elite 125 designed for demanding medical equipment applications.,https://images.pexels.com/photos/7789678/pexels-photo-7789678.jpeg,"https://images.pexels.com/photos/7789678/pexels-photo-7789678.jpeg,https://images.pexels.com/photos/8352121/pexels-photo-8352121.jpeg,https://images.pexels.com/photos/6502369/pexels-photo-6502369.jpeg,https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg","Sterilization Ready, Hygienic Design, Heavy Duty Construction, 1 Year Warranty",0,,Clinica | Industrial Grade | Performance Certified,MediCore
Separator Unit Industrial 550,separator-unit-industrial-550,Oil And Gas Exploration Equipment,FuelTech,120146.86,132454.31,5,Separator Unit Industrial 550 - A trusted solution for oil and gas exploration equipment tasks with reliable performance.,https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,"https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg,https://images.pexels.com/photos/29470002/pexels-photo-29470002.jpeg,https://images.pexels.com/photos/13129752/pexels-photo-13129752.jpeg","Corrosion Resistant, High Pressure Rated, ATEX Certified, 1 Year Warranty",0,,OilMax | Industrial Grade | Performance Certified,DrillMaster
Skid Steer Industrial 274,skid-steer-industrial-274,Construction Equipment,SteelWorks,34669.37,40754.64,18,Professional-grade Skid Steer Industrial 274 designed for demanding construction equipment applications.,https://images.pexels.com/photos/14975088/pexels-photo-14975088.jpeg,"https://images.pexels.com/photos/14975088/pexels-photo-14975088.jpeg,https://images.pexels.com/photos/30751525/pexels-photo-30751525.jpeg,https://images.pexels.com/photos/10421754/pexels-photo-10421754.jpeg,https://images.pexels.com/photos/20760025/pexels-photo-20760025.jpeg","CE Certified, Fuel Efficient, Heavy Duty Construction, 1 Year Warranty",0,,ConstructPro | Industrial Grade | Performance Certified,ConstructPro
Conveyor System Advanced 978,conveyor-system-advanced-978,Mining and Quarry Equipment,DeepDigger,104890.24,123580.46,5,Professional-grade Conveyor System Advanced 978 designed for demanding mining and quarry equipment applications.,https://images.pexels.com/photos/16567021/pexels-photo-16567021.jpeg,"https://images.pexels.com/photos/16567021/pexels-photo-16567021.jpeg,https://images.pexels.com/photos/4946889/pexels-photo-4946889.jpeg,https://images.pexels.com/photos/32618286/pexels-photo-32618286.jpeg,https://images.pexels.com/photos/17320062/pexels-photo-17320062.jpeg","High Torque, 1 Year Warranty, Technical Support, Dust Protected",0,,OreMax | Industrial Grade | Performance Certified,RockBreaker
Infusion Pump Advanced 739,infusion-pump-advanced-739,Medical Equipment,MediCore,27859.42,34709.57,20,Professional-grade Infusion Pump Advanced 739 designed for demanding medical equipment applications.,https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg,"https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg,https://images.pexels.com/photos/8655283/pexels-photo-8655283.jpeg,https://images.pexels.com/photos/4586856/pexels-photo-4586856.jpeg,https://images.pexels.com/photos/6809646/pexels-photo-6809646.jpeg","Sterilization Ready, Clinical Grade, Hygienic Design, Heavy Duty Construction",1,,MediPro | Industrial Grade | Performance Certified,MediCore
